ticker,group,marketCap,trailingPE,forwardPE,priceToSalesTrailing12Months,profitMargins,grossMargins,operatingMargins,revenueGrowth,earningsGrowth,totalDebt,totalCash,freeCashflow,operatingCashflow,sharesOutstanding,floatShares,shortPercentOfFloat,beta,fiftyTwoWeekHigh,fiftyTwoWeekLow,shortName
ETN,power,163913089024.0,42.986763,26.166046,5.4590383,0.12752,0.36022,0.16563,0.214,-0.159,21326000128.0,695000000.0,3106125056.0,4950000128.0,388300000.0,387716416.0,0.0165,1.168,478.0,311.92,"Eaton Corporation, PLC"
PWR,power,96076939264.0,73.11785,32.536034,2.9198155,0.04032,0.15456,0.07217,0.411,0.947,6603134976.0,506431008.0,1955491328.0,3178248960.0,150343393.0,148973765.0,0.021,1.2,788.75,370.27,"Quanta Services, Inc."
POWL,power,6648411648.0,34.959774,26.107895,5.7436585,0.16488001,0.3008,0.20554,0.089,0.076,2524000.0,633561024.0,190403632.0,256112992.0,36431649.0,28840746.0,0.1016,1.185,328.0,89.89667,"Powell Industries, Inc."
CRWV,neocloud,55059898368.0,,-51.23165,7.2542686,-0.25402,0.67418,-0.01903,1.125,,51612999680.0,5538999808.0,-9088615424.0,6911000064.0,458871690.0,327678926.0,0.1889,,153.2,60.55,"CoreWeave, Inc."
NBIS,neocloud,61920694272.0,,-81.36114,45.694557,0.03129,0.7426,-0.00223,4.54,,10195300352.0,8042100224.0,-9614650368.0,5257999872.0,220406311.0,228609396.0,0.2344,1.436,299.86,73.52,Nebius Group N.V.
IREN,neocloud,18493173760.0,,-177.09435,26.156988,-0.9938,0.68924004,-1.0247,-0.267,,7839525888.0,5895590912.0,-4219297280.0,2100418048.0,394058648.0,346180522.0,0.2463,4.285,76.87,27.05,IREN LIMITED
APLD,neocloud,8048640512.0,,-113.24,13.166197,-0.39915,0.25879,-0.48219,4.066,,5099915776.0,1591987968.0,-4961438720.0,89685000.0,284303812.0,250753792.0,0.21290001,5.728,50.725,13.915,Applied Digital Corporation
WULF,neocloud,8911581184.0,,-74.41667,53.946484,0.0,0.69262004,-3.0703602,-0.06,,5236724224.0,2619191040.0,-234116752.0,-279156992.0,498968677.0,384001304.0,0.2526,4.248,29.84,9.13,TeraWulf Inc.
CORZ,neocloud,6018706432.0,,133.7857,13.669216,0.0,0.32136002,0.06874,1.088,,4407342080.0,1769735040.0,464833248.0,520240000.0,321340441.0,287461518.0,0.2232,5.485,30.46,13.355,"Core Scientific, Inc."
CIFR,neocloud,7682218496.0,,85.42945,40.201466,0.0,-0.100360006,-3.01691,-0.43,,5586800128.0,831828992.0,-2897558784.0,-256490000.0,415030722.0,341624238.0,0.192,3.167,30.14,7.9,Cipher Digital Inc.
HUT,neocloud,12263085056.0,,-19.160326,38.568863,-1.8858501,0.62328,-2.754,0.814,,7668843008.0,233579008.0,-7739337728.0,-89435000.0,123259468.0,103016566.0,0.1196,5.976,140.8,26.187,Hut 8 Corp.
GLXY,neocloud,15940492288.0,,-78.89517,0.27310842,-0.00416,1.0,0.96228,-0.038,,5078083072.0,1553694976.0,34591842304.0,-357280000.0,194292392.0,190313284.0,0.1596,3.676,45.92,16.43,Galaxy Digital Inc.
